Row_ID,Player_Name,Team,Season,Venue,Pitch_Type,Match_Result,Batting_Position,Batting_Style,Runs_Scored,Balls_Faced,Strike_Rate,Fours_Hit,Sixes_Hit,Dot_Balls,Boundary_Runs,Boundary_Pct,PP_Runs,Middle_Runs,Death_Runs,PP_Strike_Rate,Middle_SR,Death_SR,Consistency_Index,Impact_Score,Performance_Tier,Aggression_Index
19,Dinesh Karthik,MI,2018,"Rajiv Gandhi Intl, Hyderabad",Seaming,Lost,Lower Middle (6-7),Anchor,17,17,100.0,2,1,6,14,82.35,8,7,2,89.31,106.74,141.07,0.56,0.458,Average,0.2353
20,Tristan Stubbs,RCB,2019,"Wankhede Stadium, Mumbai",High-Scoring,Won,Middle Order (4-5),Anchor,14,11,127.27,3,1,4,18,128.57,4,5,5,115.73,127.71,148.3,1.0,0.548,Below Average,0.5785
21,Rishabh Pant,MI,2024,"M. Chinnaswamy, Bangalore",Flat/Batting,Won,Opener,Power Hitter,32,16,200.0,4,3,3,34,106.25,10,10,12,166.18,164.72,199.44,0.967,0.958,Good,1.25
22,Rilee Rossouw,MI,2021,"Brabourne Stadium, Mumbai",High-Scoring,Lost,Opener,Power Hitter,0,1,0.0,0,2,0,12,1200.0,0,0,0,144.07,182.19,183.19,0.589,0.1,Below Average,0.0
23,Liam Livingstone,RR,2018,"Sawai Mansingh, Jaipur",High-Scoring,Won,Opener,Finisher,22,15,146.67,4,2,2,28,127.27,9,7,6,142.3,143.11,175.96,0.641,0.708,Average,0.7822
24,Quinton de Kock,SRH,2021,"Punjab Cricket Assoc, Mohali",Seaming,Won,Top Order (3),Finisher,32,24,133.33,1,1,5,10,31.25,11,14,7,120.59,168.77,220.69,0.736,0.598,Good,0.1667
25,Aaron Finch,CSK,2019,"MA Chidambaram, Chennai",Seaming,Won,Finisher/Tail,Aggressive,7,4,175.0,5,1,1,26,371.43,2,2,3,155.62,111.38,163.51,0.505,0.703,Below Average,3.0625
26,Shubman Gill,CSK,2018,"Wankhede Stadium, Mumbai",Seaming,Won,Middle Order (4-5),All-Round,12,7,171.43,1,1,2,10,83.33,3,5,4,141.65,138.15,139.07,0.633,0.632,Below Average,0.7347
27,Rohit Sharma,CSK,2022,"Wankhede Stadium, Mumbai",Seaming,Won,Top Order (3),Aggressive,38,26,146.15,3,2,7,24,63.16,12,16,10,153.93,192.0,144.96,0.523,0.75,Good,0.3935
28,KL Rahul,SRH,2023,"Eden Gardens, Kolkata",Seaming,Lost,Top Order (3),Anchor,35,28,125.0,1,0,9,4,11.43,15,10,10,99.16,132.74,145.14,0.425,0.535,Good,0.0446
29,Sanju Samson,PBKS,2023,"Arun Jaitley, Delhi",Slow/Low,Won,Top Order (3),Aggressive,51,30,170.0,4,3,6,34,66.67,21,23,7,135.6,159.69,186.35,0.78,0.944,Elite,0.5667
30,Devdutt Padikkal,KKR,2020,"Narendra Modi Stadium, Ahmedabad",Spin-Friendly,Won,Middle Order (4-5),All-Round,21,14,150.0,2,1,5,14,66.67,8,9,4,143.78,138.32,172.34,0.494,0.624,Average,0.4286
31,Andre Russell,LSG,2020,"Wankhede Stadium, Mumbai",Flat/Batting,Lost,Finisher/Tail,All-Round,34,25,136.0,3,2,6,24,70.59,9,12,13,155.59,155.37,174.53,0.662,0.704,Good,0.3808
32,AB de Villiers,PBKS,2018,"Rajiv Gandhi Intl, Hyderabad",High-Scoring,Won,Finisher/Tail,Power Hitter,33,19,173.68,1,3,3,22,66.67,10,15,8,142.42,149.66,206.06,0.449,0.823,Good,0.6399
33,Shreyas Iyer,SRH,2023,"Arun Jaitley, Delhi",High-Scoring,Lost,Opener,All-Round,18,12,150.0,3,1,3,18,100.0,4,8,6,127.68,116.28,130.55,0.421,0.632,Average,0.625
34,AB de Villiers,PBKS,2019,"Narendra Modi Stadium, Ahmedabad",Slow/Low,Lost,Finisher/Tail,Finisher,19,11,172.73,3,3,3,30,157.89,4,7,8,139.22,150.67,184.7,0.401,0.804,Average,1.4132
35,Rohit Sharma,DC,2021,"Brabourne Stadium, Mumbai",High-Scoring,Lost,Top Order (3),Finisher,28,14,200.0,1,2,4,16,57.14,7,13,8,133.48,158.36,178.5,0.568,0.832,Average,0.7143
36,Rishabh Pant,CSK,2023,"Brabourne Stadium, Mumbai",Seaming,Won,Finisher/Tail,Finisher,12,7,171.43,2,3,2,26,216.67,4,5,3,152.58,157.75,222.05,0.405,0.752,Below Average,1.9592
37,Virat Kohli,MI,2022,"Eden Gardens, Kolkata",Slow/Low,Lost,Lower Middle (6-7),Anchor,17,15,113.33,0,0,4,0,0.0,8,8,1,110.26,125.13,175.52,0.721,0.408,Average,0.0
38,Hardik Pandya,MI,2019,"M. Chinnaswamy, Bangalore",High-Scoring,Lost,Lower Middle (6-7),Aggressive,24,17,141.18,4,0,7,16,66.67,11,11,2,161.69,152.96,149.74,0.794,0.6,Average,0.3322
39,Rinku Singh,LSG,2024,"Sawai Mansingh, Jaipur",High-Scoring,Lost,Middle Order (4-5),Power Hitter,23,11,209.09,0,2,2,12,52.17,9,11,3,155.5,165.25,210.26,0.358,0.819,Average,0.7603
40,Aaron Finch,KKR,2021,"Narendra Modi Stadium, Ahmedabad",Seaming,Lost,Finisher/Tail,Finisher,20,12,166.67,2,2,2,20,100.0,7,7,6,144.48,143.77,209.27,0.571,0.72,Average,0.8334
41,Suryakumar Yadav,RCB,2023,"M. Chinnaswamy, Bangalore",Spin-Friendly,Won,Lower Middle (6-7),Anchor,42,34,123.53,4,1,12,22,52.38,10,12,20,122.57,129.68,165.37,0.376,0.669,Good,0.218
42,Nicholas Pooran,GT,2021,"Sawai Mansingh, Jaipur",Flat/Batting,Lost,Finisher/Tail,Aggressive,47,25,188.0,0,1,2,6,12.77,22,17,8,166.54,161.11,216.57,0.302,0.802,Good,0.1504
43,Yashasvi Jaiswal,GT,2019,"MA Chidambaram, Chennai",Slow/Low,Lost,Lower Middle (6-7),Anchor,7,5,140.0,2,0,1,8,114.29,2,2,3,106.66,125.5,119.2,0.458,0.488,Below Average,0.56
44,Priyam Garg,RCB,2018,"Rajiv Gandhi Intl, Hyderabad",High-Scoring,Won,Finisher/Tail,Power Hitter,10,5,200.0,4,2,1,28,280.0,2,3,5,146.85,160.11,195.66,0.364,0.82,Below Average,3.2
45,AB de Villiers,KKR,2020,"Rajiv Gandhi Intl, Hyderabad",Seaming,Lost,Middle Order (4-5),All-Round,22,18,122.22,5,1,5,26,118.18,10,10,2,127.41,149.66,154.28,0.661,0.605,Average,0.4753
46,Andre Russell,KKR,2024,"Wankhede Stadium, Mumbai",Spin-Friendly,Won,Opener,Aggressive,48,32,150.0,2,2,3,20,41.67,18,17,13,168.67,156.26,195.53,0.606,0.782,Good,0.2812
47,Ishan Kishan,RR,2019,"Brabourne Stadium, Mumbai",High-Scoring,Won,Middle Order (4-5),Finisher,58,32,181.25,1,1,5,10,17.24,16,21,21,142.55,145.3,156.62,0.854,0.846,Elite,0.1699
48,Manish Pandey,PBKS,2018,"Brabourne Stadium, Mumbai",Spin-Friendly,Won,Top Order (3),All-Round,42,30,140.0,4,1,8,22,52.38,15,18,9,108.64,135.14,141.19,0.301,0.718,Good,0.28
49,Manish Pandey,MI,2021,"Arun Jaitley, Delhi",Flat/Batting,Lost,Finisher/Tail,Finisher,33,16,206.25,0,2,3,12,36.36,8,11,14,132.19,155.73,161.63,0.599,0.851,Good,0.5156
50,Priyam Garg,RCB,2023,"Punjab Cricket Assoc, Mohali",Seaming,Lost,Top Order (3),All-Round,29,21,138.1,1,1,8,10,34.48,7,12,10,125.69,149.27,125.31,0.648,0.6,Average,0.1973
51,David Warner,DC,2024,"Sawai Mansingh, Jaipur",High-Scoring,Lost,Top Order (3),All-Round,20,13,153.85,2,0,2,8,40.0,4,8,8,124.92,147.58,125.47,0.538,0.582,Average,0.2367
52,Aaron Finch,SRH,2023,"MA Chidambaram, Chennai",High-Scoring,Won,Finisher/Tail,Finisher,7,4,175.0,2,1,1,14,200.0,1,3,3,154.59,146.35,194.96,0.347,0.643,Below Average,1.75
53,Quinton de Kock,RR,2024,"Wankhede Stadium, Mumbai",Flat/Batting,Lost,Lower Middle (6-7),All-Round,37,22,168.18,0,1,8,6,16.22,16,18,3,121.15,143.57,146.62,0.566,0.703,Good,0.1529
54,Rinku Singh,SRH,2020,"Arun Jaitley, Delhi",Slow/Low,Lost,Finisher/Tail,All-Round,27,16,168.75,3,2,4,24,88.89,7,8,12,130.12,131.69,164.5,0.924,0.774,Average,0.7383
55,Sanju Samson,KKR,2020,"Brabourne Stadium, Mumbai",High-Scoring,Lost,Lower Middle (6-7),Anchor,38,33,115.15,3,0,7,12,31.58,12,13,13,92.88,120.28,171.53,0.609,0.557,Good,0.1047
56,Yashasvi Jaiswal,RCB,2018,"Punjab Cricket Assoc, Mohali",Seaming,Won,Opener,Finisher,0,10,190.0,0,2,3,12,63.16,4,9,6,117.32,172.16,185.02,0.475,0.746,Below Average,0.76
57,Wriddhiman Saha,SRH,2020,"Sawai Mansingh, Jaipur",Flat/Batting,Won,Opener,Anchor,35,22,159.09,2,0,7,8,22.86,9,15,11,95.25,121.07,128.45,0.636,0.657,Good,0.1446
58,Manish Pandey,DC,2018,"Punjab Cricket Assoc, Mohali",Slow/Low,Won,Top Order (3),Aggressive,41,22,186.36,2,2,4,20,48.78,18,13,10,155.35,146.17,201.39,0.794,0.863,Good,0.5083
59,MS Dhoni,DC,2018,"Brabourne Stadium, Mumbai",Flat/Batting,Won,Finisher/Tail,Power Hitter,30,14,214.29,1,1,1,10,33.33,10,14,6,177.24,176.2,175.29,0.99,0.833,Good,0.4592
60,Rishabh Pant,MI,2023,"Brabourne Stadium, Mumbai",Slow/Low,Lost,Lower Middle (6-7),All-Round,31,22,140.91,3,2,7,24,77.42,12,10,9,152.43,158.18,190.56,0.458,0.707,Good,0.4484
61,Devdutt Padikkal,DC,2021,"Eden Gardens, Kolkata",High-Scoring,Won,Top Order (3),Power Hitter,11,6,183.33,2,4,0,32,290.91,2,4,5,177.74,156.82,164.7,0.698,0.834,Below Average,3.0555
62,Liam Livingstone,GT,2021,"Eden Gardens, Kolkata",Slow/Low,Lost,Middle Order (4-5),Power Hitter,26,18,144.44,1,2,6,16,61.54,6,10,10,151.11,167.91,143.86,0.54,0.657,Average,0.4012
63,KL Rahul,PBKS,2020,"Wankhede Stadium, Mumbai",Flat/Batting,Won,Finisher/Tail,Finisher,19,11,172.73,4,3,3,34,178.95,4,9,6,122.9,193.6,179.43,0.553,0.824,Average,1.5703
64,Glenn Maxwell,GT,2021,"Punjab Cricket Assoc, Mohali",Slow/Low,Lost,Top Order (3),Aggressive,34,20,170.0,3,1,4,18,52.94,7,13,14,133.31,161.6,178.9,0.821,0.756,Good,0.425
65,Andre Russell,PBKS,2023,"Eden Gardens, Kolkata",Spin-Friendly,Lost,Middle Order (4-5),Finisher,0,1,0.0,3,0,0,12,1200.0,0,0,0,133.93,133.89,162.69,0.35,0.06,Below Average,0.0
66,KL Rahul,RR,2020,"Arun Jaitley, Delhi",Flat/Batting,Lost,Middle Order (4-5),Aggressive,66,35,188.57,5,3,6,38,57.58,13,21,32,136.13,149.66,159.56,0.678,1.08,Elite,0.5926
67,Shubman Gill,KKR,2022,"Sawai Mansingh, Jaipur",Slow/Low,Won,Middle Order (4-5),Power Hitter,21,12,175.0,3,3,2,30,142.86,8,7,6,172.19,180.9,191.61,0.609,0.819,Average,1.3125
68,Faf du Plessis,MI,2023,"M. Chinnaswamy, Bangalore",Seaming,Won,Top Order (3),Power Hitter,7,3,233.33,2,2,1,20,285.71,1,2,4,131.45,181.09,172.19,0.866,0.868,Below Average,4.6666
69,Faf du Plessis,RCB,2022,"MA Chidambaram, Chennai",Slow/Low,Lost,Middle Order (4-5),All-Round,0,1,0.0,3,1,0,18,1800.0,0,0,0,130.19,139.71,161.71,0.485,0.11,Below Average,0.0
70,Tim David,RCB,2024,"Rajiv Gandhi Intl, Hyderabad",Seaming,Lost,Middle Order (4-5),Aggressive,33,19,173.68,0,0,6,0,0.0,7,15,11,144.28,165.21,173.2,0.41,0.653,Good,0.0
71,Tristan Stubbs,RCB,2021,"Arun Jaitley, Delhi",Seaming,Lost,Finisher/Tail,All-Round,32,26,123.08,3,0,10,12,37.5,8,9,15,131.29,141.84,178.35,0.85,0.557,Good,0.142
72,Devdutt Padikkal,PBKS,2023,"Sawai Mansingh, Jaipur",Slow/Low,Lost,Middle Order (4-5),Aggressive,53,46,115.22,1,1,12,10,18.87,13,23,17,146.8,148.67,171.77,0.297,0.628,Elite,0.0751
73,Suryakumar Yadav,LSG,2024,"Eden Gardens, Kolkata",Slow/Low,Won,Middle Order (4-5),Power Hitter,12,8,150.0,1,4,1,28,233.33,4,5,3,194.29,159.12,211.81,0.446,0.718,Below Average,1.6875
74,Hardik Pandya,CSK,2020,"Brabourne Stadium, Mumbai",Slow/Low,Won,Middle Order (4-5),All-Round,31,16,193.75,2,2,4,20,64.52,7,9,15,123.68,164.56,146.16,0.876,0.845,Good,0.7266
75,Tristan Stubbs,LSG,2018,"Narendra Modi Stadium, Ahmedabad",Seaming,Won,Finisher/Tail,Aggressive,47,32,146.88,4,3,10,34,72.34,14,14,19,120.45,158.88,196.41,0.582,0.859,Good,0.459
76,Wriddhiman Saha,RCB,2018,"Arun Jaitley, Delhi",Flat/Batting,Lost,Opener,Finisher,5,3,166.67,2,2,1,20,400.0,2,2,1,138.45,130.09,186.84,0.587,0.66,Below Average,3.3334
77,Sanju Samson,RCB,2022,"Rajiv Gandhi Intl, Hyderabad",High-Scoring,Won,Opener,Anchor,31,30,103.33,1,1,11,10,32.26,14,14,3,118.22,134.07,127.68,0.567,0.504,Good,0.1033
78,Rohit Sharma,RR,2019,"Eden Gardens, Kolkata",Slow/Low,Lost,Finisher/Tail,Finisher,16,11,145.45,1,2,2,16,100.0,4,7,5,136.7,148.4,207.19,0.585,0.62,Average,0.6611
79,Liam Livingstone,KKR,2018,"Narendra Modi Stadium, Ahmedabad",Slow/Low,Lost,Lower Middle (6-7),All-Round,44,39,112.82,3,2,13,24,54.55,21,20,3,140.18,130.24,186.89,0.964,0.674,Good,0.2025
80,Glenn Maxwell,MI,2022,"Sawai Mansingh, Jaipur",Seaming,Won,Opener,Power Hitter,19,11,172.73,4,5,2,46,242.11,5,6,8,134.63,158.22,177.72,0.412,0.924,Average,2.1984
81,Suryakumar Yadav,CSK,2024,"Sawai Mansingh, Jaipur",Flat/Batting,Lost,Middle Order (4-5),Aggressive,34,20,170.0,5,1,7,26,76.47,16,13,5,140.79,143.16,191.65,0.58,0.796,Good,0.595
82,Suryakumar Yadav,LSG,2022,"MA Chidambaram, Chennai",Spin-Friendly,Lost,Finisher/Tail,Finisher,27,16,168.75,4,1,4,22,81.48,7,9,11,129.94,172.84,206.66,0.447,0.744,Average,0.6328
83,Faf du Plessis,RR,2024,"Narendra Modi Stadium, Ahmedabad",Slow/Low,Lost,Top Order (3),Aggressive,20,11,181.82,2,3,3,26,130.0,7,8,5,121.26,150.81,176.25,0.601,0.815,Average,1.3223
84,Aaron Finch,GT,2018,"Narendra Modi Stadium, Ahmedabad",Slow/Low,Won,Middle Order (4-5),All-Round,34,22,154.55,5,1,6,26,76.47,10,11,13,123.7,164.92,148.35,0.59,0.75,Good,0.4918
85,Priyam Garg,DC,2019,"Wankhede Stadium, Mumbai",Flat/Batting,Lost,Opener,All-Round,29,18,161.11,6,1,5,30,103.45,11,11,7,139.86,146.76,151.51,0.656,0.769,Average,0.716
86,Kieron Pollard,LSG,2023,"M. Chinnaswamy, Bangalore",Slow/Low,Won,Finisher/Tail,All-Round,45,29,155.17,3,2,11,24,53.33,17,20,8,121.69,140.2,182.83,0.403,0.806,Good,0.3745
87,Ishan Kishan,RR,2024,"Arun Jaitley, Delhi",Flat/Batting,Lost,Top Order (3),All-Round,35,26,134.62,3,3,8,30,85.71,13,12,10,124.9,147.68,201.97,0.495,0.754,Good,0.466
88,Faf du Plessis,RR,2023,"Brabourne Stadium, Mumbai",Flat/Batting,Won,Top Order (3),Aggressive,38,22,172.73,5,2,6,32,84.21,14,18,6,137.3,162.91,205.47,0.365,0.87,Good,0.7066
89,Prithvi Shaw,KKR,2024,"Narendra Modi Stadium, Ahmedabad",Seaming,Won,Top Order (3),Power Hitter,26,16,162.5,4,1,3,22,84.62,11,7,8,160.46,195.48,196.48,0.45,0.722,Average,0.6094
90,Yashasvi Jaiswal,DC,2023,"Wankhede Stadium, Mumbai",Spin-Friendly,Won,Opener,Anchor,0,50,100.0,0,1,17,6,12.0,20,17,13,111.66,111.54,112.39,0.707,0.55,Below Average,0.04
91,Ambati Rayudu,LSG,2021,"Sawai Mansingh, Jaipur",Seaming,Won,Opener,Aggressive,46,29,158.62,6,1,4,30,65.22,22,17,7,133.62,156.38,191.04,0.325,0.83,Good,0.4376
92,Rinku Singh,DC,2018,"Sawai Mansingh, Jaipur",Slow/Low,Lost,Opener,All-Round,50,36,138.89,4,2,13,28,56.0,21,23,6,133.84,157.94,162.63,0.678,0.797,Elite,0.3086
93,Rilee Rossouw,RCB,2020,"Brabourne Stadium, Mumbai",High-Scoring,Lost,Top Order (3),Aggressive,33,16,206.25,2,4,4,32,96.97,7,13,13,122.54,172.61,170.95,0.47,0.991,Good,1.2891
94,Faf du Plessis,LSG,2021,"Narendra Modi Stadium, Ahmedabad",Slow/Low,Lost,Lower Middle (6-7),Anchor,5,4,125.0,0,0,1,0,0.0,2,2,1,93.5,119.28,137.93,0.341,0.395,Below Average,0.0
95,Aaron Finch,SRH,2018,"Eden Gardens, Kolkata",Flat/Batting,Won,Lower Middle (6-7),Anchor,46,34,135.29,2,0,13,8,17.39,10,17,19,77.37,104.98,132.38,0.874,0.63,Good,0.0796
96,Prithvi Shaw,LSG,2021,"Arun Jaitley, Delhi",Slow/Low,Won,Opener,Finisher,29,20,145.0,2,3,7,26,89.66,6,14,9,140.39,145.3,192.21,0.621,0.741,Average,0.58
97,Tilak Varma,KKR,2024,"Punjab Cricket Assoc, Mohali",Seaming,Won,Middle Order (4-5),Aggressive,51,28,182.14,5,1,10,26,50.98,17,21,13,146.96,186.04,187.96,0.433,0.9,Elite,0.4554
98,Heinrich Klaasen,GT,2022,"MA Chidambaram, Chennai",Flat/Batting,Won,Opener,Power Hitter,18,10,180.0,3,3,2,30,166.67,7,7,4,180.71,178.54,198.56,0.572,0.822,Average,1.62
99,Hardik Pandya,GT,2019,"Wankhede Stadium, Mumbai",Flat/Batting,Won,Opener,All-Round,38,31,122.58,2,0,11,8,21.05,16,14,8,133.91,119.61,129.41,0.59,0.56,Good,0.0791
100,Manish Pandey,GT,2019,"M. Chinnaswamy, Bangalore",High-Scoring,Won,Opener,Aggressive,53,26,203.85,2,3,7,26,49.06,24,20,9,153.78,136.35,213.53,0.798,1.014,Elite,0.6272
101,Glenn Maxwell,KKR,2020,"Rajiv Gandhi Intl, Hyderabad",Flat/Batting,Lost,Opener,Power Hitter,16,8,200.0,3,3,1,30,187.5,7,5,4,144.73,171.62,221.25,0.648,0.874,Average,2.25
102,Rilee Rossouw,MI,2020,"Narendra Modi Stadium, Ahmedabad",Spin-Friendly,Lost,Top Order (3),Aggressive,28,15,186.67,0,3,2,18,64.29,6,10,12,124.58,177.41,174.65,0.612,0.822,Average,0.7467
103,Yashasvi Jaiswal,KKR,2024,"Arun Jaitley, Delhi",Flat/Batting,Lost,Finisher/Tail,Power Hitter,24,13,184.62,2,1,4,14,58.33,7,8,9,147.39,149.66,214.8,0.487,0.74,Average,0.5681
104,Manish Pandey,PBKS,2023,"Rajiv Gandhi Intl, Hyderabad",Seaming,Won,Lower Middle (6-7),Power Hitter,20,12,166.67,5,3,3,38,190.0,7,9,4,150.91,169.05,196.37,0.543,0.83,Average,1.5278
105,Kieron Pollard,CSK,2019,"Rajiv Gandhi Intl, Hyderabad",High-Scoring,Lost,Opener,All-Round,40,28,142.86,3,1,9,18,45.0,8,13,19,94.23,151.74,165.63,0.73,0.699,Good,0.2551
106,Rishabh Pant,CSK,2022,"Punjab Cricket Assoc, Mohali",Spin-Friendly,Lost,Opener,Power Hitter,0,1,0.0,2,4,0,32,3200.0,0,0,0,145.44,200.71,193.99,0.589,0.24,Below Average,0.0
107,Aaron Finch,KKR,2019,"Eden Gardens, Kolkata",Spin-Friendly,Lost,Finisher/Tail,Anchor,38,29,131.03,2,1,15,14,36.84,17,15,6,107.14,136.58,161.74,0.665,0.635,Good,0.1807
108,Heinrich Klaasen,SRH,2021,"Eden Gardens, Kolkata",Slow/Low,Lost,Top Order (3),Finisher,8,4,200.0,0,2,0,12,150.0,3,2,3,138.54,159.93,184.68,0.626,0.732,Below Average,2.0
109,Priyam Garg,RR,2020,"MA Chidambaram, Chennai",Flat/Batting,Won,Opener,Aggressive,64,37,172.97,3,3,13,30,46.88,28,28,8,125.59,155.54,211.51,0.523,0.985,Elite,0.4207
110,KL Rahul,RR,2020,"Brabourne Stadium, Mumbai",Slow/Low,Won,Top Order (3),Power Hitter,26,15,173.33,2,1,2,14,53.85,8,11,7,139.93,139.7,185.02,0.312,0.714,Average,0.4622
111,David Warner,LSG,2019,"Sawai Mansingh, Jaipur",Slow/Low,Won,Opener,Anchor,47,34,138.24,1,2,15,16,34.04,16,18,13,103.13,99.16,105.09,0.734,0.723,Good,0.2033
112,Shubman Gill,SRH,2018,"Punjab Cricket Assoc, Mohali",Slow/Low,Lost,Middle Order (4-5),Aggressive,78,40,195.0,4,3,13,34,43.59,37,23,18,155.38,164.22,186.08,0.539,1.127,Elite,0.4875
113,David Warner,GT,2020,"Rajiv Gandhi Intl, Hyderabad",Spin-Friendly,Won,Middle Order (4-5),Anchor,18,15,120.0,0,0,4,0,0.0,7,7,4,91.45,133.77,106.59,0.372,0.432,Average,0.0
114,Rinku Singh,CSK,2020,"Wankhede Stadium, Mumbai",Seaming,Lost,Finisher/Tail,All-Round,43,35,122.86,2,2,9,20,46.51,10,17,16,115.18,142.8,126.84,0.629,0.681,Good,0.2106
115,Suryakumar Yadav,RCB,2024,"Eden Gardens, Kolkata",High-Scoring,Won,Middle Order (4-5),Aggressive,34,19,178.95,3,4,5,36,105.88,16,14,4,137.56,160.73,184.81,0.424,0.933,Good,1.036
116,Sanju Samson,GT,2018,"Rajiv Gandhi Intl, Hyderabad",Seaming,Won,Lower Middle (6-7),Anchor,20,20,100.0,4,0,6,16,80.0,8,7,5,103.58,138.72,124.53,0.6,0.46,Average,0.2
117,Quinton de Kock,DC,2020,"Brabourne Stadium, Mumbai",Slow/Low,Lost,Top Order (3),All-Round,18,10,180.0,1,2,3,16,88.89,4,5,9,130.41,138.66,155.76,0.723,0.732,Average,0.9
118,Shreyas Iyer,GT,2018,"Sawai Mansingh, Jaipur",Seaming,Won,Middle Order (4-5),Anchor,54,48,112.5,1,0,26,4,7.41,26,17,11,95.94,144.59,171.55,0.45,0.574,Elite,0.0234
119,Wriddhiman Saha,LSG,2018,"Narendra Modi Stadium, Ahmedabad",Slow/Low,Lost,Lower Middle (6-7),Anchor,34,23,147.83,2,0,7,8,23.53,9,12,13,92.78,120.51,122.6,0.592,0.619,Good,0.1285
